板块,公司全称,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,全通教育集团（广东）股份有限公司,300359,全通教育,1/21/2014,"634,103,422","533,546,050",,,,0,0,华南,广东,中山市,I 信息技术,www.qtone.cn
创业板,杭州炬华科技股份有限公司,300360,炬华科技,1/21/2014,"504,387,126","433,045,584",,,,0,0,华东,浙江,杭州市,C 制造业,www.sunrisemeter.com
创业板,成都天翔环境股份有限公司,300362,天翔环境,1/21/2014,"436,999,190","396,658,551",,,,0,0,西南,四川,成都市,C 制造业,www.tbhic.cn
创业板,重庆博腾制药科技股份有限公司,300363,博腾股份,1/29/2014,"542,747,533","446,953,017",,,,0,0,西南,重庆,重庆市,C 制造业,www.porton.cn
创业板,中文在线数字出版集团股份有限公司,300364,中文在线,1/21/2015,"727,295,310","631,788,783",,,,0,0,华北,北京,北京市,R 文化传播,www.col.com
创业板,北京恒华伟业科技股份有限公司,300365,恒华科技,1/23/2014,"605,712,969","346,209,092",,,,0,0,华北,北京,北京市,I 信息技术,www.ieforever.com
创业板,创意信息技术股份有限公司,300366,创意信息,1/27/2014,"525,576,150","338,436,710",,,,0,0,西南,四川,成都市,I 信息技术,www.troy.cn
创业板,东方网力科技股份有限公司,300367,ST网力,1/29/2014,"1,195,772,516","1,018,480,375",,,,0,0,华北,北京,北京市,C 制造业,www.netposa.com
创业板,河北汇金机电股份有限公司,300368,汇金股份,1/23/2014,"531,943,475","510,001,138",,,,0,0,华北,河北,石家庄市,C 制造业,www.hjjs.com
创业板,绿盟科技集团股份有限公司,300369,绿盟科技,1/29/2014,"799,056,161","732,837,183",,,,0,0,华北,北京,北京市,I 信息技术,www.nsfocus.com
创业板,北京安控科技股份有限公司,300370,安控科技,1/23/2014,"957,146,344","941,991,154",,,,0,0,华北,北京,北京市,C 制造业,www.etrol.com
创业板,汇中仪表股份有限公司,300371,汇中股份,1/23/2014,"167,757,520","109,539,578",,,,0,0,华北,河北,唐山市,C 制造业,www.hzyb.com
创业板,扬州扬杰电子科技股份有限公司,300373,扬杰科技,1/23/2014,"472,116,893","470,568,649",,,,0,0,华东,江苏,扬州市,C 制造业,www.21yangjie.com
创业板,中铁装配式建筑股份有限公司,300374,中铁装配,3/19/2015,"245,912,337","170,416,625",,,,0,0,华北,北京,北京市,C 制造业,www.htcxms.com
创业板,天津鹏翎集团股份有限公司,300375,鹏翎股份,1/27/2014,"711,123,166","455,691,041",,,,0,0,华北,天津,天津市,C 制造业,www.pengling.cn
创业板,易事特集团股份有限公司,300376,易事特,1/27/2014,"2,313,406,476","2,308,487,326",,,,0,0,华南,广东,东莞市,C 制造业,www.eastups.com
创业板,深圳市赢时胜信息技术股份有限公司,300377,赢时胜,1/27/2014,"752,077,080","568,051,108",,,,0,0,华南,广东,深圳市,I 信息技术,www.ysstech.com
创业板,鼎捷软件股份有限公司,300378,鼎捷软件,1/27/2014,"266,254,353","265,852,353",,,,0,0,华东,上海,上海市,I 信息技术,www.digiwin.com.cn
创业板,北京东方通科技股份有限公司,300379,东方通,1/28/2014,"281,575,208","264,352,121",,,,0,0,华北,北京,北京市,I 信息技术,www.tongtech.com
创业板,上海安硕信息技术股份有限公司,300380,安硕信息,1/28/2014,"141,009,750","124,299,707",,,,0,0,华东,上海,上海市,I 信息技术,www.amarsoft.com
创业板,广东溢多利生物科技股份有限公司,300381,溢多利,1/28/2014,"490,058,748","470,551,602",,,,0,0,华南,广东,珠海市,C 制造业,www.yiduoli.com
创业板,苏州斯莱克精密设备股份有限公司,300382,斯莱克,1/29/2014,"564,569,415","564,511,590",,,,0,0,华东,江苏,苏州市,C 制造业,www.slac.com.cn
创业板,北京光环新网科技股份有限公司,300383,光环新网,1/29/2014,"1,543,139,921","1,502,060,174",,,,0,0,华北,北京,北京市,I 信息技术,www.sinnet.com.cn
创业板,北京三联虹普新合纤技术服务股份有限公司,300384,三联虹普,8/1/2014,"320,753,348","220,365,908",,,,0,0,华北,北京,北京市,M 科研服务,www.slhpcn.com
创业板,无锡雪浪环境科技股份有限公司,300385,雪浪环境,6/26/2014,"333,145,932","225,032,427",,,,0,0,华东,江苏,无锡市,C 制造业,www.cecm.com.cn
创业板,飞天诚信科技股份有限公司,300386,飞天诚信,6/26/2014,"418,044,000","237,771,650",,,,0,0,华北,北京,北京市,I 信息技术,www.ftsafe.com.cn
创业板,湖北富邦科技股份有限公司,300387,富邦股份,7/2/2014,"290,683,018","288,374,726",,,,0,0,华中,湖北,孝感市,C 制造业,www.forbon.com
创业板,安徽国祯环保节能科技股份有限公司,300388,国祯环保,8/1/2014,"698,956,814","691,750,761",,,,0,0,华东,安徽,合肥市,N 公共环保,www.gzep.com.cn
创业板,深圳市艾比森光电股份有限公司,300389,艾比森,8/1/2014,"318,994,173","163,876,243",,,,0,0,华南,广东,深圳市,C 制造业,www.szabsen.com、www.absen.cn
创业板,苏州天华超净科技股份有限公司,300390,天华超净,7/31/2014,"551,276,000","345,623,245",,,,0,0,华东,江苏,苏州市,C 制造业,www.canmax.com.cn
创业板,康跃科技股份有限公司,300391,康跃科技,8/1/2014,"350,336,112","341,420,201",,,,0,0,华东,山东,潍坊市,C 制造业,www.chinakangyue.com
创业板,北京腾信创新网络营销技术股份有限公司,300392,腾信股份,9/10/2014,"384,000,000","295,520,000",,,,0,0,华北,北京,北京市,I 信息技术,www.tensynchina.com
创业板,苏州中来光伏新材股份有限公司,300393,中来股份,9/12/2014,"778,305,256","519,361,428",,,,0,0,华东,江苏,苏州市,C 制造业,www.jolywood.cn
创业板,苏州天孚光通信股份有限公司,300394,天孚通信,2/17/2015,"198,567,910","176,034,060",,,,0,0,华东,江苏,苏州市,C 制造业,www.tfcsz.com
创业板,湖北菲利华石英玻璃股份有限公司,300395,菲利华,9/10/2014,"337,948,844","310,473,637",,,,0,0,华中,湖北,荆州市,C 制造业,www.feilihua.com
创业板,迪瑞医疗科技股份有限公司,300396,迪瑞医疗,9/10/2014,"276,030,000","251,342,955",,,,0,0,东北,吉林,长春市,C 制造业,www.dirui.com.cn
创业板,西安天和防务技术股份有限公司,300397,天和防务,9/10/2014,"432,000,000","311,650,745",,,,0,0,西北,陕西,西安市,C 制造业,www.thtw.com.cn
创业板,上海飞凯光电材料股份有限公司,300398,飞凯材料,10/9/2014,"515,858,018","506,940,351",,,,0,0,华东,上海,上海市,C 制造业,www.phichem.com.cn
创业板,江西天利科技股份有限公司,300399,天利科技,10/9/2014,"197,600,000","194,668,968",,,,0,0,华东,江西,上饶市,I 信息技术,www.ihandy.cn
创业板,深圳市劲拓自动化设备股份有限公司,300400,劲拓股份,10/10/2014,"242,625,800","182,392,912",,,,0,0,华南,广东,深圳市,C 制造业,www.jt-ele.com
创业板,浙江花园生物高科股份有限公司,300401,花园生物,10/9/2014,"551,007,557","458,996,850",,,,0,0,华东,浙江,金华市,C 制造业,www.hybiotech.com
