"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年11月7日","57.15","56.35","57.88","56.27","678.17K","1.42%"
"2019年11月6日","56.35","57.26","57.85","56.11","623.26K","-1.54%"
"2019年11月5日","57.23","56.56","57.50","56.30","435.32K","1.22%"
"2019年11月4日","56.54","56.41","57.43","55.83","580.35K","0.60%"
"2019年11月1日","56.20","54.15","56.33","54.07","538.12K","3.73%"
"2019年10月31日","54.18","54.90","55.59","53.71","677.42K","-1.60%"
"2019年10月30日","55.06","55.53","55.73","54.42","659.33K","-0.86%"
"2019年10月29日","55.54","55.80","55.91","54.61","521.46K","-0.48%"
"2019年10月28日","55.81","56.65","56.92","55.58","437.02K","-1.50%"
"2019年10月25日","56.66","56.07","56.74","55.60","445.02K","0.76%"
"2019年10月24日","56.23","55.90","56.51","55.41","480.76K","0.46%"
"2019年10月23日","55.97","54.30","56.07","53.62","620.20K","3.34%"
"2019年10月22日","54.16","53.39","54.62","53.10","33.92K","1.59%"
"2019年10月21日","53.31","53.71","54.03","52.71","95.98K","-0.87%"
"2019年10月18日","53.78","54.09","54.62","53.35","174.48K","-0.28%"
"2019年10月17日","53.93","52.99","54.16","52.62","418.42K","1.07%"
"2019年10月16日","53.36","52.92","53.74","52.51","451.64K","1.04%"
"2019年10月15日","52.81","53.51","53.79","52.39","511.25K","-1.46%"
"2019年10月14日","53.59","54.90","54.90","52.77","467.64K","-2.03%"
"2019年10月11日","54.70","53.88","54.93","53.64","741.70K","2.15%"
"2019年10月10日","53.55","52.69","53.97","51.38","613.94K","1.83%"
"2019年10月9日","52.59","52.57","53.74","52.31","632.67K","-0.08%"
"2019年10月8日","52.63","52.81","53.27","51.81","658.32K","-0.23%"
"2019年10月7日","52.75","52.69","54.06","52.59","549.02K","-0.11%"
"2019年10月4日","52.81","52.29","53.35","52.04","541.10K","0.69%"
"2019年10月3日","52.45","52.47","52.91","50.99","642.47K","-0.36%"
"2019年10月2日","52.64","54.00","54.42","52.17","590.31K","-1.83%"
"2019年10月1日","53.62","54.28","54.84","53.05","589.18K","-0.83%"
