"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年6月19日","1,768.60","1,746.60","1,775.60","1,745.50","8.36K","1.18%"
"2020年6月18日","1,747.90","1,752.90","1,765.20","1,739.60","4.78K","-0.31%"
"2020年6月17日","1,753.40","1,751.50","1,756.80","1,735.60","3.83K","-0.06%"
"2020年6月16日","1,754.40","1,751.40","1,757.50","1,739.80","4.23K","0.54%"
"2020年6月15日","1,744.90","1,759.10","1,759.60","1,724.60","4.43K","-0.59%"
"2020年6月12日","1,755.20","1,751.70","1,770.50","1,746.90","3.61K","-0.14%"
"2020年6月11日","1,757.60","1,764.90","1,772.60","1,746.00","6.57K","1.07%"
"2020年6月10日","1,739.00","1,737.70","1,767.00","1,732.80","8.14K","-0.07%"
"2020年6月9日","1,740.30","1,724.90","1,747.50","1,715.90","6.82K","0.96%"
"2020年6月8日","1,723.80","1,706.10","1,726.00","1,700.10","4.83K","1.29%"
"2020年6月5日","1,701.90","1,740.20","1,741.90","1,690.10","9.81K","-2.55%"
"2020年6月4日","1,746.40","1,721.00","1,747.30","1,718.50","5.81K","1.33%"
"2020年6月3日","1,723.50","1,750.30","1,754.10","1,707.50","7.57K","-1.50%"
"2020年6月2日","1,749.70","1,766.20","1,771.00","1,743.40","4.99K","-0.79%"
"2020年6月1日","1,763.70","1,763.10","1,774.50","1,751.60","3.29K","-0.11%"
"2020年5月29日","1,765.70","1,748.70","1,767.10","1,740.70","6.42K","1.32%"
"2020年5月28日","1,742.70","1,737.50","1,757.30","1,734.30","4.17K","0.13%"
"2020年5月27日","1,740.50","1,738.80","1,743.30","1,714.80","6.08K","0.00%"
"2020年5月26日","1,740.50","1,761.00","1,768.00","1,734.80","6.03K","0.78%"
"2020年5月25日","1,727.00","1,730.55","1,731.35","1,719.25","-","-0.21%"
"2020年5月24日","1,730.65","1,735.45","1,735.90","1,729.80","-","-1.98%"
"2020年5月22日","1,765.60","1,755.90","1,768.30","1,750.60","8.36K","0.87%"
"2020年5月21日","1,750.40","1,778.80","1,779.80","1,743.80","5.87K","-1.76%"
"2020年5月20日","1,781.70","1,777.70","1,785.10","1,773.00","4.20K","0.47%"
"2020年5月19日","1,773.40","1,763.00","1,779.60","1,754.20","4.33K","0.73%"
"2020年5月18日","1,760.60","1,780.00","1,800.00","1,756.20","4.07K","-1.02%"
"2020年5月15日","1,778.70","1,760.10","1,783.00","1,758.00","5.54K","0.95%"
"2020年5月14日","1,762.00","1,743.30","1,765.10","1,735.00","4.05K","1.42%"
"2020年5月13日","1,737.30","1,726.60","1,744.50","1,721.00","6.18K","0.54%"
"2020年5月12日","1,728.00","1,721.10","1,737.20","1,717.00","5.81K","0.41%"
"2020年5月11日","1,720.90","1,727.70","1,734.20","1,714.20","6.37K","-0.82%"
"2020年5月8日","1,735.20","1,743.50","1,752.70","1,724.50","8.13K","-0.49%"
"2020年5月7日","1,743.70","1,706.40","1,750.50","1,704.50","8.26K","2.31%"
"2020年5月6日","1,704.40","1,730.50","1,733.40","1,698.80","5.81K","-1.37%"
"2020年5月5日","1,728.00","1,719.00","1,733.70","1,710.50","8.37K","0.12%"
"2020年5月4日","1,725.90","1,722.90","1,735.50","1,711.80","3.35K","0.81%"
"2020年5月1日","1,712.00","1,705.70","1,723.10","1,688.00","2.33K","0.42%"
"2020年4月30日","1,704.90","1,737.00","1,745.00","1,697.70","3.80K","-1.02%"
"2020年4月29日","1,722.40","1,735.00","1,741.80","1,718.00","1.90K","-0.51%"
"2020年4月28日","1,731.20","1,731.80","1,740.00","1,712.70","3.06K","-0.01%"
"2020年4月27日","1,731.40","1,746.70","1,753.00","1,726.80","2.90K","-0.59%"
"2020年4月24日","1,741.70","1,754.40","1,765.50","1,733.00","2.26K","-0.53%"
"2020年4月23日","1,751.00","1,741.40","1,769.20","1,736.00","3.79K","0.43%"
"2020年4月22日","1,743.50","1,707.60","1,747.10","1,700.00","2.50K","3.04%"
"2020年4月21日","1,692.10","1,717.60","1,720.80","1,670.30","2.73K","-1.35%"
"2020年4月20日","1,715.30","1,697.20","1,722.00","1,689.20","2.52K","0.74%"
"2020年4月17日","1,702.70","1,740.70","1,741.30","1,695.50","4.41K","-1.94%"
"2020年4月16日","1,736.30","1,744.00","1,771.20","1,727.60","3.83K","-0.48%"
"2020年4月15日","1,744.70","1,760.70","1,762.70","1,736.40","3.86K","-1.50%"
"2020年4月14日","1,771.20","1,768.00","1,789.50","1,750.00","7.09K","0.48%"
"2020年4月13日","1,762.70","1,741.60","1,773.50","1,725.00","4.15K","1.27%"
"2020年4月10日","1,740.60","1,740.60","1,740.60","1,740.60","-","-0.74%"
"2020年4月9日","1,753.60","1,679.20","1,754.30","1,679.20","9.30K","4.13%"
"2020年4月8日","1,684.10","1,680.10","1,693.90","1,673.90","3.33K","0.02%"
"2020年4月7日","1,683.70","1,713.10","1,740.80","1,674.30","7.05K","-0.56%"
"2020年4月6日","1,693.10","1,649.50","1,713.50","1,640.00","4.04K","2.83%"
"2020年4月3日","1,646.50","1,639.00","1,651.50","1,625.30","3.02K","0.46%"
"2020年4月2日","1,638.90","1,607.00","1,645.20","1,596.70","3.42K","2.91%"
"2020年4月1日","1,592.50","1,580.00","1,611.00","1,577.70","3.25K","-0.32%"
"2020年3月31日","1,597.60","1,640.10","1,642.20","1,590.80","3.35K","-2.83%"
"2020年3月30日","1,644.10","1,665.70","1,672.50","1,634.60","2.89K","-0.66%"
"2020年3月27日","1,655.00","1,653.60","1,659.30","1,631.90","6.37K","-0.42%"
"2020年3月26日","1,662.00","1,639.60","1,678.00","1,615.00","7.61K","1.76%"
"2020年3月25日","1,633.30","1,688.00","1,695.00","1,607.50","5.34K","-1.79%"
"2020年3月24日","1,663.00","1,578.00","1,691.40","1,578.00","9.56K","5.16%"
"2020年3月23日","1,581.40","1,520.00","1,583.70","1,498.90","3.14K","5.77%"
"2020年3月20日","1,495.10","1,468.00","1,530.00","1,468.00","4.16K","0.38%"
"2020年3月19日","1,489.40","1,496.60","1,508.00","1,476.90","2.21K","0.15%"
"2020年3月18日","1,487.10","1,547.00","1,551.10","1,485.20","2.49K","-3.06%"
"2020年3月17日","1,534.10","1,504.50","1,561.50","1,476.30","3.41K","2.70%"
"2020年3月16日","1,493.80","1,573.00","1,578.60","1,458.80","2.74K","-2.04%"
"2020年3月13日","1,524.90","1,592.60","1,604.20","1,514.30","2.51K","-4.62%"
"2020年3月12日","1,598.80","1,648.60","1,655.20","1,568.70","3.05K","-3.15%"
"2020年3月11日","1,650.80","1,657.90","1,677.60","1,641.70","4.20K","-1.09%"
"2020年3月10日","1,669.00","1,675.00","1,679.30","1,651.50","3.67K","-0.90%"
"2020年3月9日","1,684.10","1,700.00","1,712.10","1,668.10","3.54K","0.07%"
"2020年3月6日","1,683.00","1,683.60","1,703.60","1,657.70","4.50K","0.15%"
"2020年3月5日","1,680.40","1,653.40","1,687.20","1,653.00","2.37K","1.44%"
"2020年3月4日","1,656.50","1,660.10","1,661.10","1,647.30","3.92K","-0.14%"
"2020年3月3日","1,658.80","1,606.50","1,663.80","1,606.50","3.14K","3.05%"
"2020年3月2日","1,609.70","1,609.10","1,626.00","1,593.90","2.37K","1.65%"
"2020年2月28日","1,583.60","1,667.10","1,667.10","1,582.00","6.31K","-4.68%"
"2020年2月27日","1,661.40","1,668.00","1,680.30","1,656.00","3.96K","-0.09%"
"2020年2月26日","1,662.90","1,656.40","1,676.70","1,646.70","3.59K","-0.44%"
"2020年2月25日","1,670.20","1,681.60","1,681.60","1,650.00","3.36K","-1.59%"
"2020年2月24日","1,697.10","1,673.30","1,711.80","1,673.30","9.96K","1.68%"
"2020年2月21日","1,669.10","1,645.50","1,671.20","1,642.40","1.86K","1.72%"
"2020年2月20日","1,640.80","1,634.00","1,645.50","1,627.70","1.31K","0.53%"
"2020年2月19日","1,632.20","1,625.00","1,634.80","1,623.30","1.40K","0.50%"
"2020年2月18日","1,624.00","1,605.00","1,628.30","1,603.50","1.62K","2.33%"
"2020年2月17日","1,587.05","1,586.15","1,588.45","1,581.85","-","0.05%"
"2020年2月16日","1,586.25","1,585.50","1,586.25","1,583.45","-","-1.29%"
"2020年2月14日","1,606.90","1,601.00","1,608.40","1,597.30","1.56K","0.46%"
"2020年2月13日","1,599.60","1,594.40","1,602.00","1,594.00","1.73K","0.45%"
"2020年2月12日","1,592.40","1,590.80","1,593.90","1,587.50","2.05K","0.08%"
"2020年2月11日","1,591.10","1,597.30","1,597.90","1,587.10","1.86K","-0.60%"
"2020年2月10日","1,600.70","1,599.50","1,601.50","1,594.20","1.66K","0.36%"
"2020年2月7日","1,595.00","1,591.00","1,598.30","1,588.40","0.84K","0.21%"
"2020年2月6日","1,591.70","1,580.70","1,592.40","1,579.30","1.31K","0.44%"
"2020年2月5日","1,584.70","1,579.40","1,587.00","1,573.00","2.05K","0.46%"
"2020年2月4日","1,577.50","1,602.30","1,602.30","1,576.00","1.84K","-1.65%"
"2020年2月3日","1,604.00","1,618.80","1,619.60","1,595.00","1.02K","-0.34%"
"2020年1月31日","1,609.40","1,599.70","1,615.30","1,597.70","3.06K","-0.08%"
"2020年1月30日","1,610.70","1,601.60","1,612.00","1,599.00","1.50K","0.80%"
"2020年1月29日","1,597.90","1,594.50","1,603.60","1,589.30","4.24K","0.06%"
"2020年1月28日","1,596.90","1,606.70","1,607.10","1,593.40","10.91K","-0.48%"
"2020年1月27日","1,604.60","1,610.00","1,612.80","1,602.80","1.93K","0.35%"
"2020年1月24日","1,599.00","1,589.10","1,601.40","1,584.00","2.62K","0.43%"
"2020年1月23日","1,592.10","1,585.00","1,593.50","1,580.10","1.75K","0.54%"
"2020年1月22日","1,583.50","1,583.10","1,585.50","1,577.60","1.96K","-0.08%"
"2020年1月21日","1,584.70","1,584.00","1,593.80","1,573.60","2.14K","1.50%"
"2020年1月20日","1,561.25","1,557.20","1,562.70","1,556.65","-","0.27%"
"2020年1月19日","1,557.05","1,557.40","1,559.05","1,556.45","-","-1.90%"
"2020年1月17日","1,587.20","1,578.60","1,588.00","1,577.10","1.54K","0.65%"
"2020年1月16日","1,576.90","1,580.40","1,583.40","1,575.00","1.86K","-0.22%"
"2020年1月15日","1,580.30","1,575.90","1,582.20","1,573.40","2.10K","0.58%"
"2020年1月14日","1,571.20","1,573.20","1,573.90","1,563.40","1.76K","-0.40%"
"2020年1月13日","1,577.50","1,586.80","1,586.80","1,574.90","2.70K","-0.60%"
"2020年1月10日","1,587.00","1,577.60","1,589.60","1,574.10","2.73K","0.35%"
"2020年1月9日","1,581.40","1,583.00","1,587.50","1,570.20","1.43K","-0.35%"
"2020年1月8日","1,587.00","1,603.30","1,637.90","1,581.50","3.32K","-0.89%"
"2020年1月7日","1,601.30","1,594.50","1,605.50","1,586.50","2.57K","0.33%"
"2020年1月6日","1,596.10","1,590.20","1,615.30","1,590.00","2.80K","1.04%"
"2020年1月3日","1,579.60","1,561.60","1,583.60","1,561.60","5.12K","1.57%"
"2020年1月2日","1,555.20","1,548.70","1,559.50","1,548.20","1.25K","2.25%"
"2020年1月1日","1,520.95","1,520.85","1,523.95","1,520.85","-","-1.91%"
"2019年12月31日","1,550.60","1,546.70","1,555.00","1,546.40","0.67K","0.34%"
"2019年12月30日","1,545.40","1,543.90","1,545.50","1,540.10","0.46K","0.06%"
"2019年12月27日","1,544.40","1,540.70","1,545.00","1,540.00","0.29K","0.27%"
"2019年12月26日","1,540.30","1,528.90","1,543.00","1,528.40","1.02K","2.41%"
"2019年12月25日","1,504.05","1,504.40","1,504.40","1,502.15","-","-1.73%"
"2019年12月24日","1,530.50","1,518.60","1,530.10","1,518.60","0.45K","1.06%"
"2019年12月23日","1,514.40","1,510.70","1,514.90","1,510.70","0.39K","0.53%"
"2019年12月20日","1,506.40","1,508.10","1,510.00","1,505.20","0.44K","-0.24%"
"2019年12月19日","1,510.00","1,505.40","1,510.40","1,503.50","0.57K","0.38%"
"2019年12月18日","1,504.30","1,506.40","1,508.50","1,501.70","1.56K","-0.17%"
"2019年12月17日","1,506.80","1,505.80","1,510.00","1,505.00","0.21K","0.01%"
"2019年12月16日","1,506.70","1,505.40","1,509.40","1,503.90","0.42K","-0.01%"
"2019年12月13日","1,506.90","1,493.00","1,507.90","1,493.00","0.47K","0.63%"
"2019年12月12日","1,497.50","1,511.20","1,514.00","1,494.10","0.17K","-0.17%"
"2019年12月11日","1,500.10","1,500.00","1,507.00","1,497.50","0.14K","0.46%"
"2019年12月10日","1,493.20","1,490.60","1,496.00","1,489.70","0.14K","0.23%"
"2019年12月9日","1,489.80","1,493.20","1,493.20","1,489.40","0.30K","-0.01%"
"2019年12月6日","1,489.90","1,503.00","1,506.00","1,488.00","0.44K","-1.17%"
"2019年12月5日","1,507.50","1,505.00","1,508.00","1,503.00","0.23K","0.20%"
"2019年12月4日","1,504.50","1,509.10","1,513.50","1,502.50","0.46K","-0.27%"
"2019年12月3日","1,508.60","1,491.10","1,510.30","1,491.10","0.45K","1.04%"
"2019年12月2日","1,493.10","1,494.00","1,495.30","1,485.00","0.17K","-0.23%"
"2019年11月29日","1,496.60","1,488.00","1,495.40","1,484.20","0.19K","2.35%"
"2019年11月28日","1,462.25","1,463.25","1,464.55","1,460.75","-","-1.49%"
"2019年11月27日","1,484.40","1,489.20","1,490.20","1,483.90","0.22K","-0.44%"
"2019年11月26日","1,491.00","1,484.30","1,492.00","1,481.00","0.31K","0.19%"
"2019年11月25日","1,488.10","1,490.90","1,492.00","1,485.20","0.94K","-0.42%"
"2019年11月22日","1,494.40","1,497.70","1,502.30","1,492.00","0.70K","0.03%"
"2019年11月21日","1,494.00","1,505.50","1,505.70","1,494.00","0.49K","-0.70%"
"2019年11月20日","1,504.50","1,505.50","1,509.20","1,498.00","0.69K","-0.02%"
"2019年11月19日","1,504.80","1,501.30","1,506.10","1,497.00","1.03K","0.16%"
"2019年11月18日","1,502.40","1,498.40","1,502.80","1,488.80","0.82K","0.22%"
"2019年11月15日","1,499.10","1,496.30","1,499.90","1,495.90","0.07K","-0.33%"
"2019年11月14日","1,504.00","1,495.10","1,504.70","1,494.80","0.84K","0.68%"
"2019年11月13日","1,493.90","1,489.90","1,498.10","1,489.90","0.74K","0.65%"
"2019年11月12日","1,484.20","1,487.80","1,488.50","1,480.00","0.93K","-0.26%"
"2019年11月11日","1,488.00","1,494.00","1,494.00","1,480.10","0.73K","-0.55%"
"2019年11月8日","1,496.30","1,500.50","1,503.00","1,488.80","0.35K","-0.09%"
"2019年11月7日","1,497.70","1,520.10","1,520.10","1,495.10","1.32K","-1.72%"
"2019年11月6日","1,523.90","1,516.70","1,525.40","1,516.10","0.69K","0.62%"
"2019年11月5日","1,514.50","1,535.00","1,535.00","1,513.00","1.77K","-1.76%"
"2019年11月4日","1,541.60","1,544.80","1,544.80","1,541.00","0.83K","0.02%"
